"X";"speed";"dist"
1;"18";"42"
2;"18";"56"
3;"15";"26"
4;"10";"26"
5;"13";"26"
6;"12";"20"
7;"14";"36"
8;"18";"84"
9;"12";"24"
10;"10";"18"
11;"18";"76"
12;"11";"28"
13;"17";"50"
14;"9";"10"
15;"24";"120"
16;"13";"34"
17;"19";"68"
18;"7";"4"
19;"14";"60"
20;"q";NA
21;"o";NA
22;"20";"32"
23;"b";NA
24;"k";NA
25;"20";"52"
26;"24";"92"
27;"20";"64"
28;"24";"93"
29;"25";"85"
30;"23";"54"
31;"l";NA
32;"h";NA
33;"12";"14"
34;"11";"17"
35;"14";"80"
36;"7";"22"
37;"p";NA
38;"19";"46"
39;"15";"20"
40;"4";"10"
41;"24";"70"
42;"16";"32"
43;"12";"28"
44;"19";"36"
45;"s";NA
46;"15";"54"
47;"13";"46"
48;"14";"26"
49;"17";"40"
50;"4";"2"
51;"8";"16"
52;"22";"66"
53;"17";"32"
54;"f";NA
55;"20";"48"
56;"16";"40"
57;"20";"56"
58;"g";NA
59;"13";"34"
60;"10";"34"
